date,average
2021-03-04,68939
2021-03-05,64612
2021-03-06,59415
2021-03-07,55199
2021-03-08,63460
2021-03-09,65149
2021-03-10,63871
2021-03-11,63907
2021-03-12,65970
2021-03-13,56508
2021-03-14,52932
2021-03-15,61320
2021-03-16,62178
2021-03-17,62444
2021-03-18,62415
2021-03-19,61410
2021-03-20,58248
2021-03-21,53072
2021-03-22,61225
2021-03-23,62508
2021-03-24,62557
2021-03-25,61152
2021-03-26,60833
2021-03-27,57152
2021-03-28,52815
2021-03-29,59214
2021-03-30,60280
2021-03-31,60003
2021-04-01,60663
2021-04-02,59768
2021-04-03,56591
2021-04-04,52674
2021-04-05,57813
2021-04-06,60298
2021-04-07,59778
2021-04-08,59834
2021-04-09,60153
2021-04-10,53799
2021-04-11,49795
2021-04-12,60862
2021-04-13,60693
2021-04-14,60001
2021-04-15,60444
2021-04-16,61926
2021-04-17,54218
2021-04-18,50187
2021-04-19,57985
2021-04-20,59942
2021-04-21,60110
2021-04-22,61275
2021-04-23,60735
2021-04-24,53751
2021-04-25,49674
2021-04-26,57260
2021-04-27,60918
2021-04-28,60267
2021-04-29,59853
2021-04-30,59635
2021-05-01,53118
2021-05-02,49441
2021-05-03,57021
2021-05-04,61992
2021-05-05,54382
2021-05-06,58628
2021-05-07,59919
2021-05-08,52699
2021-05-09,48563
2021-05-10,59863
2021-05-11,60832
2021-05-12,59574
2021-05-13,60231
2021-05-14,61328
2021-05-15,56982
2021-05-16,54203
2021-05-17,61026
2021-05-18,60696
2021-05-19,55608
2021-05-20,61983
2021-05-21,60993
2021-05-22,53136
2021-05-23,50122
2021-05-24,58012
2021-05-25,59651
2021-05-26,60155
2021-05-27,61242
2021-05-28,60577
2021-05-29,53114
2021-05-30,49340
2021-05-31,58384
2021-06-01,60367
2021-06-02,61263
2021-06-03,62907
2021-06-04,59310
2021-06-05,53804
2021-06-06,51084
2021-06-07,60236
2021-06-08,62775
2021-06-09,64130
2021-06-10,65320
2021-06-11,63849
2021-06-12,56904
2021-06-13,53856
2021-06-14,63505
2021-06-15,65910
2021-06-16,64884
2021-06-17,64508
2021-06-18,64029
2021-06-19,55769
2021-06-20,52958
2021-06-21,62259
2021-06-22,64463
2021-06-23,64385
2021-06-24,64459
2021-06-25,64193
2021-06-26,57597
2021-06-27,54193
2021-06-28,64040
2021-06-29,66350
2021-06-30,66707
2021-07-01,67384
2021-07-02,67716
2021-07-03,60258
2021-07-04,56664
2021-07-05,65483
2021-07-06,69274
2021-07-07,70973
2021-07-08,70985
2021-07-09,69671
2021-07-10,62514
2021-07-11,59572
2021-07-12,70938
2021-07-13,74778
2021-07-14,76274
2021-07-15,75917
2021-07-16,74469
2021-07-17,65317
2021-07-18,62103
2021-07-19,72454
2021-07-20,76004
2021-07-21,76484
2021-07-22,76944
2021-07-23,77023
2021-07-24,69847
2021-07-25,65359
2021-07-26,75003
2021-07-27,77609
2021-07-28,77789
2021-07-29,77347
2021-07-30,75851
2021-07-31,67883
2021-08-01,63950
2021-08-02,66548
2021-08-03,67561
2021-08-04,69002
2021-08-05,71962
2021-08-06,72158
2021-08-07,66032
2021-08-08,63058
2021-08-09,70908
2021-08-10,73462
2021-08-11,72778
2021-08-12,73657
2021-08-13,72400
2021-08-14,63546
2021-08-15,58710
2021-08-16,64769
2021-08-17,69739
2021-08-18,69938
2021-08-19,69640
2021-08-20,69783
2021-08-21,63847
2021-08-22,58435
2021-08-23,68212
2021-08-24,71051
2021-08-25,71209
2021-08-26,70696
2021-08-27,69500
2021-08-28,60739
2021-08-29,57686
2021-08-30,67293
2021-08-31,68423
2021-09-01,68703
2021-09-02,67536
2021-09-03,65999
2021-09-04,58518
2021-09-05,55538
2021-09-06,64747
2021-09-07,67590
2021-09-08,66299
2021-09-09,66739
2021-09-10,67356
2021-09-11,59555
2021-09-12,55776
2021-09-13,65915
2021-09-14,67480
2021-09-15,65919
2021-09-16,66074
2021-09-17,64514
2021-09-18,55985
2021-09-19,51967
2021-09-20,48805
2021-09-21,47962
2021-09-22,48788
2021-09-23,57129
2021-09-24,60456
2021-09-25,57099
2021-09-26,53486
2021-09-27,61917
2021-09-28,65300
2021-09-29,66845
2021-09-30,63962
2021-10-01,63301
2021-10-02,56296
2021-10-03,52835
2021-10-04,60147
2021-10-05,65255
2021-10-06,65395
2021-10-07,65438
2021-10-08,65115
2021-10-09,57620
2021-10-10,54050
2021-10-11,58025
2021-10-12,62927
2021-10-13,63001
2021-10-14,62994
2021-10-15,63413
2021-10-16,56609
2021-10-17,50907
2021-10-18,59794
2021-10-19,62535
2021-10-20,62193
2021-10-21,62714
2021-10-22,61615
2021-10-23,54500
2021-10-24,51053
2021-10-25,59630
2021-10-26,62043
2021-10-27,62074
2021-10-28,61919
2021-10-29,61344
2021-10-30,56457
2021-10-31,51826
2021-11-01,60709
2021-11-02,62766
2021-11-03,62638
2021-11-04,63146
2021-11-05,62800
2021-11-06,55783
2021-11-07,52193
2021-11-08,63614
2021-11-09,66227
2021-11-10,67081
2021-11-11,67320
2021-11-12,66876
2021-11-13,58386
2021-11-14,54148
2021-11-15,63318
2021-11-16,65564
2021-11-17,65820
2021-11-18,65851
2021-11-19,65012
2021-11-20,58392
2021-11-21,55597
2021-11-22,66412
2021-11-23,70722
2021-11-24,69221
2021-11-25,67563
2021-11-26,67445
2021-11-27,59982
2021-11-28,56302
2021-11-29,66552
2021-11-30,71130
2021-12-01,71790
2021-12-02,71598
2021-12-03,70497
2021-12-04,63035
2021-12-05,57980
2021-12-06,68848
2021-12-07,69877
2021-12-08,69912
2021-12-09,71094
2021-12-10,70152
2021-12-11,61844
2021-12-12,58617
2021-12-13,71452
2021-12-14,73232
2021-12-15,71333
2021-12-16,71892
2021-12-17,74811
2021-12-18,67644
2021-12-19,61792
2021-12-20,71545
2021-12-21,71782
2021-12-22,71973
2021-12-23,72509
2021-12-24,73295
2021-12-25,66905
2021-12-26,64844
2021-12-27,77751
2021-12-28,78547
2021-12-29,76033
2021-12-30,75315
2021-12-31,72485
